id,HV,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
19,285.136226,0.125479,0.043208,0.079086,0.056863,0.010194,0.000000,0.079368,0.079403,0.000000,0.000000,0.051325,0.000000,0.000000,0.044340,0.000000,0.000000,0.000000,0.082754,0.086035,0.031959,0.014251,0.031677,0.033423,0.000000,0.000000,0.063600,0.029419,0.000000,0.000000,0.000000,0.000000,0.091344,0.025733,0.062683,0.046545
13,281.130850,0.121274,0.046127,0.000000,0.051797,0.038761,0.000000,0.000000,0.072526,0.069865,0.000000,0.034002,0.000000,0.000000,0.071961,0.000000,0.000000,0.074423,0.048679,0.065015,0.080731,0.000000,0.068461,0.086456,0.000000,0.000000,0.026892,0.000000,0.070849,0.000000,0.000000,0.000000,0.043301,0.060074,0.015843,0.020365
0,274.979938,0.164162,0.044664,0.051421,0.060464,0.000000,0.026331,0.000000,0.000000,0.033512,0.094774,0.091892,0.083138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063855,0.000000,0.000000,0.064187,0.000000,0.020790,0.000000,0.070327,0.000000,0.000000,0.055521,0.072920,0.071302,0.058735,0.080832
24,336.883425,0.132291,0.046009,0.000000,0.040062,0.041337,0.020459,0.020364,0.059766,0.054036,0.017292,0.048244,0.000000,0.000000,0.052268,0.000000,0.021183,0.057562,0.037651,0.050286,0.062441,0.000000,0.066671,0.066869,0.007116,0.000000,0.035492,0.003068,0.073043,0.000000,0.000000,0.011544,0.051246,0.062449,0.012254,0.027299
27,322.857289,0.159572,0.051172,0.060486,0.000000,0.018651,0.062060,0.033441,0.053200,0.024939,0.028396,0.063091,0.035911,0.000000,0.068189,0.000000,0.034786,0.000000,0.029507,0.020963,0.000000,0.000000,0.022532,0.070099,0.045961,0.000000,0.024128,0.028115,0.070176,0.001258,0.029884,0.024985,0.045708,0.065004,0.000000,0.038530
4,315.865002,0.130501,0.044222,0.000000,0.012434,0.000000,0.046520,0.047205,0.064687,0.019725,0.048731,0.000000,0.045532,0.014548,0.000000,0.000000,0.080928,0.047562,0.072102,0.066497,0.000000,0.046871,0.023917,0.043079,0.073023,0.022191,0.051628,0.000000,0.000000,0.042877,0.049085,0.000000,0.000000,0.021012,0.000000,0.059847
5,348.322504,0.152772,0.049744,0.052462,0.015598,0.020427,0.043505,0.023443,0.061495,0.030734,0.019906,0.052952,0.025175,0.000000,0.059421,0.006191,0.024386,0.018799,0.029918,0.033416,0.022244,0.005296,0.029125,0.065539,0.032220,0.011877,0.021968,0.019710,0.066520,0.008796,0.021085,0.022615,0.048902,0.056964,0.010930,0.038382
12,347.871740,0.149340,0.049017,0.048787,0.022742,0.021199,0.035008,0.018864,0.065293,0.033388,0.016019,0.045694,0.020258,0.000000,0.058365,0.009027,0.019623,0.027408,0.030106,0.039118,0.032431,0.007761,0.032144,0.063450,0.025927,0.017317,0.021047,0.015860,0.067393,0.012247,0.016858,0.021530,0.047604,0.053282,0.015936,0.038314
25,344.541981,0.156002,0.047999,0.047589,0.015510,0.030111,0.053503,0.062709,0.044580,0.010733,0.034856,0.069892,0.015473,0.000000,0.050708,0.000000,0.042699,0.000000,0.035286,0.032500,0.007721,0.003887,0.036297,0.039319,0.029154,0.000000,0.047960,0.024152,0.049667,0.000000,0.013418,0.030669,0.054167,0.055937,0.017098,0.044404
22,397.970726,0.138897,0.046370,0.024332,0.020441,0.011806,0.032590,0.030425,0.067976,0.030247,0.030209,0.022540,0.026121,0.008276,0.030769,0.006268,0.044349,0.042687,0.048421,0.052596,0.022521,0.023588,0.028066,0.053118,0.046382,0.020655,0.040176,0.006576,0.033955,0.029012,0.034912,0.011231,0.022962,0.038693,0.011067,0.047036
